row_id,image_id,true_class,pred_class,true_label,pred_label,fold,bbox,width,height,verdict,corrected_class_id,corrected_class_label,review_timestamp
train_pen1_tur_cam1_20250201_090631_0006,pen1_tur_cam1_20250201_090631.jpg,3,4,Standing,Sternal_lying,1,"[1431.5,769.5,259.0,175.0]",1920,1080,annotation_ok,3,Standing,2026-03-18T15:53:26.539465
train_pen1_tur_cam1_20250203_093045_0003,pen1_tur_cam1_20250203_093045.jpg,0,2,Lateral_lying_left,Sitting,1,"[1319.5,614.0,264.0,206.0]",1920,1080,annotation_ok,0,Lateral_lying_left,2026-03-18T15:53:34.152848
train_pen1_tur_cam1_20250203_093045_0007,pen1_tur_cam1_20250203_093045.jpg,4,1,Sternal_lying,Lateral_lying_right,1,"[1611.5,508.0,104.0,275.0]",1920,1080,pred_correct,1,Lateral_lying_right,2026-03-18T15:54:11.782981
train_pen1_tur_cam1_20250203_093045_0008,pen1_tur_cam1_20250203_093045.jpg,4,0,Sternal_lying,Lateral_lying_left,1,"[1593.0,577.0,103.0,305.0]",1920,1080,pred_correct,0,Lateral_lying_left,2026-03-18T15:54:19.919412
train_pen1_tur_cam2_20250122_092038_0004,pen1_tur_cam2_20250122_092038.jpg,4,1,Sternal_lying,Lateral_lying_right,1,"[185.5,405.3,288.0,184.0]",1280,720,pred_correct,1,Lateral_lying_right,2026-03-18T15:54:30.874746
train_pen1_tur_cam2_20250122_100149_0004,pen1_tur_cam2_20250122_100149.jpg,0,4,Lateral_lying_left,Sternal_lying,1,"[418.0,309.5,359.0,171.0]",1280,720,pred_correct,4,Sternal_lying,2026-03-18T15:54:39.016071
train_pen1_tur_cam2_20250122_104310_0002,pen1_tur_cam2_20250122_104310.jpg,4,3,Sternal_lying,Standing,1,"[201.5,487.0,254.0,162.0]",1280,720,annotation_ok,4,Sternal_lying,2026-03-18T17:20:02.560092
train_pen1_tur_cam2_20250122_104310_0005,pen1_tur_cam2_20250122_104310.jpg,2,3,Sitting,Standing,1,"[8.5,197.5,158.0,125.0]",1280,720,annotation_ok,2,Sitting,2026-03-18T15:55:30.861827
train_pen1_tur_cam2_20250122_114001_0006,pen1_tur_cam2_20250122_114001.jpg,1,4,Lateral_lying_right,Sternal_lying,1,"[216.5,545.0,283.0,136.0]",1280,720,annotation_ok,1,Lateral_lying_right,2026-03-18T15:55:40.279370
train_pen1_tur_cam2_20250122_115531_0001,pen1_tur_cam2_20250122_115531.jpg,4,0,Sternal_lying,Lateral_lying_left,1,"[389.0,512.5,339.0,195.0]",1280,720,pred_correct,0,Lateral_lying_left,2026-03-18T15:55:53.711499
train_pen1_tur_cam2_20250122_121052_0006,pen1_tur_cam2_20250122_121052.jpg,3,4,Standing,Sternal_lying,1,"[37.9,490.0,107.5,114.2]",1280,720,pred_correct,4,Sternal_lying,2026-03-18T15:56:11.669100
train_pen1_tur_cam2_20250122_125415_0004,pen1_tur_cam2_20250122_125415.jpg,4,0,Sternal_lying,Lateral_lying_left,1,"[321.5,555.0,335.0,155.0]",1280,720,pred_correct,0,Lateral_lying_left,2026-03-18T15:56:21.323989
train_pen1_tur_cam2_20250122_130917_0005,pen1_tur_cam2_20250122_130917.jpg,4,3,Sternal_lying,Standing,1,"[76.4,423.1,160.0,117.0]",1280,720,annotation_ok,4,Sternal_lying,2026-03-18T15:56:47.024972
train_pen1_tur_cam2_20250122_140601_0005,pen1_tur_cam2_20250122_140601.jpg,0,4,Lateral_lying_left,Sternal_lying,1,"[677.0,289.0,280.0,332.0]",1280,720,annotation_ok,0,Lateral_lying_left,2026-03-18T15:57:01.819840
train_pen1_tur_cam2_20250122_144925_0000,pen1_tur_cam2_20250122_144925.jpg,0,4,Lateral_lying_left,Sternal_lying,1,"[561.9,423.0,396.0,293.0]",1280,720,pred_correct,4,Sternal_lying,2026-03-18T15:57:12.656343
train_pen1_tur_cam2_20250122_144925_0006,pen1_tur_cam2_20250122_144925.jpg,4,1,Sternal_lying,Lateral_lying_right,1,"[819.0,227.5,175.3,378.5]",1280,720,annotation_ok,4,Sternal_lying,2026-03-18T15:57:49.422028
train_pen1_tur_cam2_20250125_060815_0007,pen1_tur_cam2_20250125_060815.jpg,1,4,Lateral_lying_right,Sternal_lying,1,"[155.8,496.4,232.2,168.7]",1280,720,pred_correct,4,Sternal_lying,2026-03-18T15:57:56.527829
train_pen1_tur_cam2_20250125_070438_0005,pen1_tur_cam2_20250125_070438.jpg,2,4,Sitting,Sternal_lying,1,"[469.0,34.3,327.8,203.8]",1280,720,annotation_ok,2,Sitting,2026-03-18T15:58:06.538584
train_pen1_tur_cam2_20250125_073348_0005,pen1_tur_cam2_20250125_073348.jpg,2,4,Sitting,Sternal_lying,1,"[163.5,393.5,262.0,119.0]",1280,720,annotation_ok,2,Sitting,2026-03-18T15:58:12.782828
train_pen1_tur_cam2_20250125_074919_0007,pen1_tur_cam2_20250125_074919.jpg,3,4,Standing,Sternal_lying,1,"[47.6,376.0,61.4,142.7]",1280,720,pred_correct,4,Sternal_lying,2026-03-18T15:58:31.771357
train_pen1_tur_cam2_20250125_080129_0001,pen1_tur_cam2_20250125_080129.jpg,3,4,Standing,Sternal_lying,1,"[418.0,312.5,351.0,313.0]",1280,720,pred_correct,4,Sternal_lying,2026-03-18T15:58:40.703000
train_pen1_tur_cam2_20250125_084250_0007,pen1_tur_cam2_20250125_084250.jpg,1,4,Lateral_lying_right,Sternal_lying,1,"[93.0,179.0,118.8,95.5]",1280,720,annotation_ok,1,Lateral_lying_right,2026-03-18T15:58:59.197182
